geneID,COG_category,baseMean,mean_broth,mean_plate,log2FC_shrunk,log2FoldChange,lfcSE,stat,pvalue,padj,eggNOG_OGs,Description,Function/Purpose,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
J2S48_RS00595,,1064.703204,298.9046355,2213.401057,2.761198419,2.893121377,0.489249368,5.913388075,3.35E-09,4.13E-08,,,,,,,,,,,,,,,,
J2S48_RS19775,M,14386.38446,8624.893632,23028.62071,1.377362436,1.41656276,0.23990812,5.904605312,3.53E-09,4.34E-08,"COG0766@1|root,COG0766@2|Bacteria,2GJPW@201174|Actinobacteria,4F3D4@85017|Promicromonosporaceae",Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine,,murA,-,2.5.1.7,ko:K00790,"ko00520,ko00550,ko01100,map00520,map00550,map01100",-,R00660,RC00350,"ko00000,ko00001,ko01000,ko01011",-,-,-,EPSP_synthase
J2S48_RS14215,,482.4674318,132.3717824,1007.610906,2.7796895,2.915817916,0.49504919,5.889955934,3.86E-09,4.71E-08,,,,,,,,,,,,,,,,
J2S48_RS20355,Q,1753.516054,687.9507257,3351.864047,2.195731651,2.29052708,0.388983859,5.888488757,3.90E-09,4.72E-08,"COG2124@1|root,COG2124@2|Bacteria,2GJKV@201174|Actinobacteria",Belongs to the cytochrome P450 family,,-,-,-,-,-,-,-,-,-,-,-,-,p450
J2S48_RS10480,-,6828.94382,3718.887447,11494.02838,1.571623205,1.627839562,0.276928917,5.87818557,4.15E-09,5.00E-08,"2E27K@1|root,32XDT@2|Bacteria,2GRMM@201174|Actinobacteria,4F4S2@85017|Promicromonosporaceae",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS08560,K,5379.286825,1261.733743,11555.61645,3.044067946,3.198617522,0.545085439,5.868103042,4.41E-09,5.28E-08,"COG3311@1|root,COG3311@2|Bacteria,2GR98@201174|Actinobacteria,4F4ZP@85017|Promicromonosporaceae","DNA binding domain, excisionase family",,-,-,-,-,-,-,-,-,-,-,-,-,HTH_17
J2S48_RS12665,P,3302.381924,994.9256096,6763.566396,2.633210374,2.763281459,0.471532662,5.860212204,4.62E-09,5.48E-08,"COG0607@1|root,COG0607@2|Bacteria,2IN3Q@201174|Actinobacteria,4F4RV@85017|Promicromonosporaceae",Rhodanese Homology Domain,,-,-,-,-,-,-,-,-,-,-,-,-,Rhodanese
J2S48_RS12795,-,3328.411586,920.4293603,6940.384924,2.775696576,2.912544111,0.49808562,5.847476805,4.99E-09,5.85E-08,"292NE@1|root,2ZQ69@2|Bacteria,2I8AI@201174|Actinobacteria",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS13625,J,1968.555697,771.8710322,3763.582693,2.18698759,2.284104509,0.390717449,5.845923997,5.04E-09,5.89E-08,"COG0495@1|root,COG0495@2|Bacteria,2GJI1@201174|Actinobacteria,4F3NE@85017|Promicromonosporaceae",Anticodon-binding domain of tRNA,,leuS,-,6.1.1.4,ko:K01869,"ko00970,map00970","M00359,M00360",R03657,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029",-,-,-,"Anticodon_1,tRNA-synt_1,tRNA-synt_1_2"
J2S48_RS19995,J,13504.72591,7376.001814,22697.81206,1.568797003,1.621101928,0.27790966,5.833197487,5.44E-09,6.29E-08,"COG0211@1|root,COG0211@2|Bacteria,2IQDI@201174|Actinobacteria",Belongs to the bacterial ribosomal protein bL27 family,,rpmA,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0008150,GO:0015934,GO:0016020,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904",-,ko:K02899,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L27
J2S48_RS25335,K,1281.11704,263.7943079,2807.101139,3.253981357,3.42931299,0.588338645,5.828807983,5.58E-09,6.42E-08,"COG1522@1|root,COG1522@2|Bacteria,2HVG9@201174|Actinobacteria",Transcriptional regulator,,-,-,-,-,-,-,-,-,-,-,-,-,"AsnC_trans_reg,HTH_24,HTH_AsnC-type"
J2S48_RS10945,C,3289.995999,1416.459914,6100.300127,2.020291235,2.107526285,0.361799789,5.825117499,5.71E-09,6.53E-08,"COG0838@1|root,COG0838@2|Bacteria,2IKWT@201174|Actinobacteria,4F4GG@85017|Promicromonosporaceae","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",,nuoA,"GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0030964,GO:0032991,GO:0044425,GO:0050136,GO:0055114,GO:0098796,GO:1902494",1.6.5.3,ko:K00330,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Oxidored_q4
J2S48_RS18770,-,1127.922589,396.7374363,2224.700319,2.384905049,2.499067387,0.429044851,5.824722939,5.72E-09,6.53E-08,"COG4894@1|root,COG4894@2|Bacteria,2IH17@201174|Actinobacteria",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS09365,S,2379.162901,1345.758005,3929.270245,1.499425846,1.547753958,0.266184443,5.814592103,6.08E-09,6.91E-08,"COG3173@1|root,COG3173@2|Bacteria,2I8R6@201174|Actinobacteria,4F3G0@85017|Promicromonosporaceae",Phosphotransferase enzyme family,,mphA,-,-,-,-,-,-,-,-,-,-,-,APH
J2S48_RS14860,K,1687.896511,795.1372069,3027.035466,1.855253369,1.928163451,0.331802124,5.811184773,6.20E-09,7.01E-08,"COG1309@1|root,COG1309@2|Bacteria,2GP2Z@201174|Actinobacteria,4F4QX@85017|Promicromonosporaceae","Bacterial regulatory proteins, tetR family",,-,-,-,-,-,-,-,-,-,-,-,-,TetR_N
J2S48_RS12085,IJ,15215.44428,5742.076024,29425.49668,2.254445019,2.356424015,0.405761366,5.807413456,6.34E-09,7.15E-08,"COG0223@1|root,COG1024@1|root,COG0223@2|Bacteria,COG1024@2|Bacteria,2GJUK@201174|Actinobacteria,4F41S@85017|Promicromonosporaceae","Formyl transferase, C-terminal domain",,hoxX,-,-,ko:K19640,-,-,-,-,"ko00000,ko02022",-,-,-,"ECH_1,Formyl_trans_C,Formyl_trans_N"
J2S48_RS16575,S,2242.666257,962.2083932,4163.353052,2.029107696,2.113199243,0.364039014,5.80487026,6.44E-09,7.23E-08,"COG4339@1|root,COG4339@2|Bacteria,2GMYQ@201174|Actinobacteria,4F467@85017|Promicromonosporaceae",protein conserved in bacteria,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS13710,I,784.5512721,304.6678214,1504.376448,2.209769485,2.309545135,0.398444074,5.796409794,6.77E-09,7.58E-08,"COG0204@1|root,COG0204@2|Bacteria,2GQVG@201174|Actinobacteria,4F3JF@85017|Promicromonosporaceae",Phosphate acyltransferases,,-,-,2.3.1.51,ko:K00655,"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110",M00089,"R02241,R09381","RC00004,RC00037,RC00039","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,Acyltransferase
J2S48_RS18935,G,7576.259527,3493.927515,13699.75755,1.894314856,1.97102441,0.340856717,5.782559983,7.36E-09,8.15E-08,"COG2133@1|root,COG3291@1|root,COG3507@1|root,COG3828@1|root,COG2133@2|Bacteria,COG3291@2|Bacteria,COG3507@2|Bacteria,COG3828@2|Bacteria,2GJFY@201174|Actinobacteria,4F3IK@85017|Promicromonosporaceae","Carbohydrate binding domain, family 6",,-,-,-,-,-,-,-,-,-,-,-,-,"CBM_6,DUF1349,GSDH,PKD,ThuA"
J2S48_RS26195,,517.2381178,196.2132431,998.7754299,2.240200709,2.341502256,0.404982289,5.781739886,7.39E-09,8.17E-08,,,,,,,,,,,,,,,,
J2S48_RS12750,T,7965.296045,4189.58413,13628.86392,1.636652859,1.700970214,0.295054321,5.764939171,8.17E-09,8.99E-08,"COG1366@1|root,COG1366@2|Bacteria,2GS9B@201174|Actinobacteria,4F4NG@85017|Promicromonosporaceae",STAS domain,,-,-,-,-,-,-,-,-,-,-,-,-,STAS_2
J2S48_RS22875,,316.7652318,54.3382774,710.4056633,3.487303905,3.682933651,0.64107265,5.744955192,9.19E-09,9.96E-08,,,,,,,,,,,,,,,,
J2S48_RS05645,I,5830.878898,1988.926241,11593.80788,2.426621193,2.540680995,0.442558684,5.740890618,9.42E-09,1.01E-07,"COG1022@1|root,COG1022@2|Bacteria,2GIXQ@201174|Actinobacteria,4F3B5@85017|Promicromonosporaceae",AMP-binding enzyme,,fadD3,-,6.2.1.3,ko:K01897,"ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920",M00086,R01280,"RC00004,RC00014","ko00000,ko00001,ko00002,ko01000,ko01004,ko04147",4.C.1.1,-,-,AMP-binding
J2S48_RS21950,S,4205.076928,2379.662868,6943.198019,1.493655259,1.543230139,0.269729886,5.721390978,1.06E-08,1.13E-07,"2AN86@1|root,31D67@2|Bacteria,2HWWU@201174|Actinobacteria,4F4DC@85017|Promicromonosporaceae",Protein of unknown function (DUF3043),,-,"GO:0008150,GO:0009605,GO:0009607,GO:0020012,GO:0030682,GO:0042783,GO:0043207,GO:0044403,GO:0044413,GO:0044415,GO:0044419,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051805,GO:0051807,GO:0051810,GO:0051832,GO:0051834,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0075136",-,-,-,-,-,-,-,-,-,-,DUF3043
J2S48_RS08325,,12050.30487,4733.013145,23026.24246,2.188247774,2.281386817,0.39951354,5.710411756,1.13E-08,1.20E-07,,,,,,,,,,,,,,,,
J2S48_RS12675,G,5530.536215,2260.841007,10435.07903,2.116749161,2.209382626,0.388919554,5.68082166,1.34E-08,1.41E-07,"COG1472@1|root,COG1472@2|Bacteria,2GJ5H@201174|Actinobacteria","hydrolase, family 3",,-,-,3.2.1.21,ko:K05349,"ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110",-,"R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040","RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248","ko00000,ko00001,ko01000",-,GH3,-,"Glyco_hydro_3,Glyco_hydro_3_C"
J2S48_RS08435,,4954.24065,2678.240042,8368.241561,1.584726189,1.644380918,0.291853916,5.634260248,1.76E-08,1.84E-07,,,,,,,,,,,,,,,,
J2S48_RS16770,M,15286.41187,7169.548656,27461.7067,1.853418934,1.936989706,0.345638518,5.604090996,2.09E-08,2.18E-07,"COG0791@1|root,COG0791@2|Bacteria,2GIWB@201174|Actinobacteria,4F4BP@85017|Promicromonosporaceae",pfam nlp p60,,spl,-,-,ko:K21471,-,-,-,-,"ko00000,ko01000,ko01002,ko01011",-,-,-,NLPC_P60
J2S48_RS14450,E,306.4612016,24.15958348,729.9136287,4.684178629,4.99261372,0.895017842,5.578228147,2.43E-08,2.51E-07,"COG1126@1|root,COG1126@2|Bacteria,2GIZW@201174|Actinobacteria,4F46U@85017|Promicromonosporaceae",ATPases associated with a variety of cellular activities,,tcyC,-,3.6.3.21,"ko:K02028,ko:K02029",-,M00236,-,-,"ko00000,ko00002,ko01000,ko02000",3.A.1.3,-,-,ABC_tran
J2S48_RS11475,C,373.1616112,69.34949691,828.8797827,3.38240896,3.587074314,0.645708149,5.55525638,2.77E-08,2.83E-07,"COG0604@1|root,COG0604@2|Bacteria,1MX8A@1224|Proteobacteria,42QBD@68525|delta/epsilon subdivisions,2WM4P@28221|Deltaproteobacteria,2YZSV@29|Myxococcales",Zinc-binding dehydrogenase,,-,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N_2"
J2S48_RS12720,T,2733.574608,1280.639628,4912.977079,1.864525587,1.943697761,0.350614662,5.543686484,2.96E-08,3.02E-07,"COG1609@1|root,COG2202@1|root,COG1609@2|Bacteria,COG2202@2|Bacteria,2I4UR@201174|Actinobacteria",PAS domain,,-,-,-,-,-,-,-,-,-,-,-,-,"PAS_3,Peripla_BP_3"
J2S48_RS24700,-,1730.561323,516.1464883,3552.183575,2.650319325,2.794359649,0.504239173,5.541734552,2.99E-08,3.04E-07,"2ECBY@1|root,336AB@2|Bacteria,2ITFP@201174|Actinobacteria,4F4YS@85017|Promicromonosporaceae",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS14280,-,1185.169858,510.2041876,2197.618363,2.007751431,2.103994878,0.380017347,5.536575885,3.08E-08,3.12E-07,"2E4WR@1|root,32C23@2|Bacteria,2HKD3@201174|Actinobacteria,4F4U3@85017|Promicromonosporaceae",-,,-,-,-,-,-,-,-,-,-,-,-,-,PKD
J2S48_RS19905,J,2733.4056,1111.984657,5165.537014,2.113319176,2.213681066,0.400461228,5.527828698,3.24E-08,3.27E-07,"COG0333@1|root,COG0333@2|Bacteria,2GQP3@201174|Actinobacteria,4F4XY@85017|Promicromonosporaceae",Belongs to the bacterial ribosomal protein bL32 family,,rpmF,-,-,ko:K02911,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011,ko03029",-,-,-,Ribosomal_L32p
J2S48_RS06265,E,58.22857878,0,145.5714469,9.942763684,9.043563688,1.648457975,5.486074759,4.11E-08,4.03E-07,"COG1409@1|root,COG3507@1|root,COG1409@2|Bacteria,COG3507@2|Bacteria,2GP0C@201174|Actinobacteria,4FN6M@85023|Microbacteriaceae","Purple acid Phosphatase, N-terminal domain",,-,-,-,-,-,-,-,-,-,-,-,-,"CBM_6,DUF5011,Metallophos,Pur_ac_phosph_N"
J2S48_RS07475,GK,3332.911411,1815.78479,5608.601343,1.562998294,1.629800564,0.298021325,5.46873806,4.53E-08,4.39E-07,"COG1940@1|root,COG1940@2|Bacteria,2GKMZ@201174|Actinobacteria,4F3KG@85017|Promicromonosporaceae",ROK family,,-,-,-,-,-,-,-,-,-,-,-,-,"Crp,ROK"
J2S48_RS01045,,2161.335036,845.3831626,4135.262846,2.182681881,2.291616905,0.419516287,5.462521905,4.69E-08,4.54E-07,,,,,,,,,,,,,,,,
J2S48_RS02125,I,340.0347004,116.2739041,675.6758948,2.402102469,2.531560828,0.46478586,5.446725135,5.13E-08,4.93E-07,"COG0183@1|root,COG0183@2|Bacteria,2GM29@201174|Actinobacteria,4F565@85017|Promicromonosporaceae","Thiolase, C-terminal domain",,yhfS,-,2.3.1.9,ko:K00626,"ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020","M00088,M00095,M00373,M00374,M00375","R00238,R01177","RC00004,RC00326","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Thiolase_C,Thiolase_N"
J2S48_RS01560,-,888.4374277,320.9844174,1739.616943,2.319274344,2.441872367,0.448833714,5.440483397,5.31E-08,5.09E-07,"2B34Q@1|root,2ZK49@2|Bacteria,2I2K1@201174|Actinobacteria,4F5JI@85017|Promicromonosporaceae",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS24725,S,14677.04778,7994.524456,24700.83275,1.562508331,1.62709195,0.302229874,5.383623824,7.30E-08,6.90E-07,"COG1938@1|root,COG1938@2|Bacteria,2GK10@201174|Actinobacteria,4F36K@85017|Promicromonosporaceae",PAC2 family,,-,-,-,-,-,-,-,-,-,-,-,-,PAC2
J2S48_RS04565,T,1790.854257,565.4596821,3628.94612,2.537138457,2.68356442,0.503779748,5.326860463,9.99E-08,9.29E-07,"COG0784@1|root,COG0784@2|Bacteria,2IFH8@201174|Actinobacteria,4F4HS@85017|Promicromonosporaceae",cheY-homologous receiver domain,,rcp1,-,-,ko:K02485,-,-,-,-,"ko00000,ko02022",-,-,-,Response_reg
J2S48_RS07115,O,877.3930599,413.1500155,1573.757626,1.84420682,1.932248606,0.365357649,5.288649664,1.23E-07,1.13E-06,"COG0464@1|root,COG0464@2|Bacteria,2GJWA@201174|Actinobacteria,4F5FD@85017|Promicromonosporaceae",ATPase family associated with various cellular activities (AAA),,-,-,-,-,-,-,-,-,-,-,-,-,AAA
J2S48_RS17495,,408.029462,145.7427462,801.4595357,2.338730572,2.475292927,0.470241227,5.263879013,1.41E-07,1.29E-06,,,,,,,,,,,,,,,,
J2S48_RS13365,S,27888.49033,13720.39586,49140.63204,1.766094624,1.840314163,0.349832424,5.260559165,1.44E-07,1.31E-06,"COG5276@1|root,COG5276@2|Bacteria,2GMSY@201174|Actinobacteria,4F3QC@85017|Promicromonosporaceae",LVIVD repeat,,-,-,-,-,-,-,-,-,-,-,-,-,LVIVD
J2S48_RS05130,,10243.71223,1602.630133,23205.33537,3.60298193,3.854624284,0.732959746,5.258984965,1.45E-07,1.31E-06,,,,,,,,,,,,,,,,
J2S48_RS24135,G,1521.879771,768.5689891,2651.845945,1.70570945,1.783387599,0.339790042,5.248498713,1.53E-07,1.38E-06,"COG2273@1|root,COG3250@1|root,COG2273@2|Bacteria,COG3250@2|Bacteria,2GQ79@201174|Actinobacteria,4F58Y@85017|Promicromonosporaceae","Beta-1,3-glucanase",,glcI,-,-,-,-,-,-,-,-,-,-,-,"Glyco_hydro_64,Ricin_B_lectin"
J2S48_RS11860,G,4048.102671,1802.965458,7415.80849,1.944738391,2.041734856,0.389217529,5.245742304,1.56E-07,1.40E-06,"COG3661@1|root,COG3661@2|Bacteria,2GM58@201174|Actinobacteria,4F3EB@85017|Promicromonosporaceae",Glycosyl hydrolase family 67 C-terminus,,-,-,3.2.1.139,ko:K01235,-,-,-,-,"ko00000,ko01000",-,-,-,"Glyco_hydro_67C,Glyco_hydro_67M"
J2S48_RS12135,-,2419.842582,1302.519217,4095.827629,1.586202086,1.656509654,0.315911969,5.243579904,1.57E-07,1.41E-06,"2B6D5@1|root,31ZB0@2|Bacteria,2I0N7@201174|Actinobacteria,4F4XT@85017|Promicromonosporaceae",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS16735,I,1312.361302,564.7938305,2433.712509,1.996679335,2.099228946,0.400889118,5.236432844,1.64E-07,1.46E-06,"COG1835@1|root,COG1835@2|Bacteria,2GKI5@201174|Actinobacteria,4F3KI@85017|Promicromonosporaceae",Acyltransferase family,,-,-,-,-,-,-,-,-,-,-,-,-,Acyl_transf_3
J2S48_RS24985,O,2416.691042,873.9917658,4730.739957,2.308037533,2.439788699,0.466589149,5.228987218,1.70E-07,1.51E-06,"COG2039@1|root,COG2039@2|Bacteria,2GN39@201174|Actinobacteria,4F4ZY@85017|Promicromonosporaceae",Pyroglutamyl peptidase,,pcp,-,3.4.19.3,ko:K01304,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_C15
J2S48_RS18905,G,1638.185548,888.7723783,2762.305303,1.56860073,1.636026726,0.313297031,5.221966902,1.77E-07,1.56E-06,"COG2133@1|root,COG2133@2|Bacteria,2GRVP@201174|Actinobacteria,4F3A5@85017|Promicromonosporaceae",PA14,,-,-,-,-,-,-,-,-,-,-,-,-,"CBM_35,DUF1080,PA14"
J2S48_RS21785,H,2045.478547,1063.418951,3518.56794,1.654015783,1.730192367,0.331615435,5.217466326,1.81E-07,1.59E-06,"COG0413@1|root,COG0413@2|Bacteria,2GJP6@201174|Actinobacteria,4F3MG@85017|Promicromonosporaceae","Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate",,panB,"GO:0000287,GO:0003674,GO:0003824,GO:0003864,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006575,GO:0006732,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0015939,GO:0015940,GO:0016020,GO:0016053,GO:0016740,GO:0016741,GO:0016742,GO:0019752,GO:0032787,GO:0034641,GO:0040007,GO:0042364,GO:0042398,GO:0043167,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044464,GO:0046394,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:0071944,GO:0072330,GO:1901564,GO:1901566,GO:1901576",2.1.2.11,ko:K00606,"ko00770,ko01100,ko01110,map00770,map01100,map01110",M00119,R01226,"RC00022,RC00200","ko00000,ko00001,ko00002,ko01000",-,-,-,Pantoate_transf
J2S48_RS04790,E,4141.484426,2329.971016,6858.754542,1.498739051,1.559658032,0.29930234,5.210978419,1.88E-07,1.64E-06,"COG1126@1|root,COG1126@2|Bacteria,2GIZW@201174|Actinobacteria,4F3U5@85017|Promicromonosporaceae",ATPases associated with a variety of cellular activities,,gluA,-,-,ko:K10008,"ko02010,map02010",M00233,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000",3.A.1.3.9,-,-,ABC_tran
J2S48_RS22005,C,722.8286658,161.5649397,1564.724255,3.067153969,3.273051324,0.62934758,5.200705347,1.99E-07,1.72E-06,"2D9MJ@1|root,31SSV@2|Bacteria,2I8AK@201174|Actinobacteria,4F4G7@85017|Promicromonosporaceae",Belongs to the cytochrome c oxidase bacterial subunit CtaF family,,ctaF,-,-,-,-,-,-,-,-,-,-,-,Cyt_c_ox_IV
J2S48_RS21365,,1225.112832,495.5260758,2319.492966,2.101173611,2.220868133,0.428233355,5.18611665,2.15E-07,1.85E-06,,,,,,,,,,,,,,,,
J2S48_RS00590,L,4220.118251,2428.75138,6907.168557,1.449530078,1.509198033,0.292682423,5.156435494,2.52E-07,2.15E-06,"COG0847@1|root,COG0847@2|Bacteria","DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease",,-,-,-,ko:K03683,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,"DUF5051,RNase_T"
J2S48_RS26260,-,176.8870338,52.05876292,364.1294401,2.616239662,2.784184374,0.541195317,5.144509361,2.68E-07,2.27E-06,"2ETV4@1|root,33MCC@2|Bacteria,2IMW6@201174|Actinobacteria",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS09065,K,1046.341705,377.1077341,2050.192663,2.31682393,2.456576868,0.479888363,5.119059054,3.07E-07,2.57E-06,"COG1309@1|root,COG1309@2|Bacteria,2IJT2@201174|Actinobacteria","Bacterial regulatory proteins, tetR family",,-,-,-,-,-,-,-,-,-,-,-,-,TetR_N
J2S48_RS00380,K,4017.168895,2272.998104,6633.425082,1.482594935,1.543984924,0.302194066,5.109249639,3.23E-07,2.68E-06,"COG0454@1|root,COG0456@2|Bacteria,2IMKZ@201174|Actinobacteria","L-2,4-diaminobutyric acid acetyltransferase",,ectA,"GO:0003674,GO:0003824,GO:0006464,GO:0006473,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:1901564",2.3.1.178,ko:K06718,"ko00260,ko01100,ko01120,map00260,map01100,map01120",M00033,R06978,"RC00004,RC00096","ko00000,ko00001,ko00002,ko01000",-,-,-,Acetyltransf_1
J2S48_RS11110,S,846.3513334,346.566332,1596.028835,2.077507127,2.194416776,0.429938241,5.104027891,3.32E-07,2.74E-06,"COG2353@1|root,COG2353@2|Bacteria,2GJUB@201174|Actinobacteria,4F39T@85017|Promicromonosporaceae",YceI-like domain,,-,-,-,-,-,-,-,-,-,-,-,-,YceI
J2S48_RS14425,C,2427.414391,1480.306248,3848.076606,1.328749065,1.378288653,0.270037409,5.104065604,3.32E-07,2.74E-06,"COG0277@1|root,COG0277@2|Bacteria,2GJ33@201174|Actinobacteria,4F34K@85017|Promicromonosporaceae","D-arabinono-1,4-lactone oxidase",,xyoA,-,1.1.3.41,ko:K00594,"ko00040,ko00051,ko01100,map00040,map00051,map01100",-,"R07152,R11620","RC00108,RC00133","ko00000,ko00001,ko01000",-,-,-,"ALO,FAD_binding_4"
J2S48_RS15760,S,4736.31426,2867.783737,7539.110046,1.344795505,1.39585983,0.274365828,5.087586301,3.63E-07,2.98E-06,"2DW0V@1|root,33Y1G@2|Bacteria,2I0MG@201174|Actinobacteria,4F4S6@85017|Promicromonosporaceae",LytR cell envelope-related transcriptional attenuator,,-,-,-,-,-,-,-,-,-,-,-,-,LytR_C
J2S48_RS18295,U,28440.9072,18011.74451,44084.65122,1.239642851,1.291083407,0.254068134,5.081642426,3.74E-07,3.06E-06,"COG0653@1|root,COG0653@2|Bacteria,2GIRT@201174|Actinobacteria,4F3T1@85017|Promicromonosporaceae","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane",,secA,"GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008144,GO:0008150,GO:0008320,GO:0008565,GO:0015031,GO:0015399,GO:0015405,GO:0015440,GO:0015450,GO:0015462,GO:0015833,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0022884,GO:0030554,GO:0031224,GO:0031226,GO:0031522,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033036,GO:0033220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0042886,GO:0042887,GO:0043167,GO:0043168,GO:0043492,GO:0043952,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1904680",-,ko:K03070,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4",-,-,"SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW"
J2S48_RS13230,D,1170.566113,592.1411678,2038.203532,1.694713097,1.776721127,0.349746848,5.080020406,3.77E-07,3.08E-06,"COG0239@1|root,COG0239@2|Bacteria,2HGGJ@201174|Actinobacteria,4F506@85017|Promicromonosporaceae","Important for reducing fluoride concentration in the cell, thus reducing its toxicity",,-,-,-,ko:K06199,-,-,-,-,"ko00000,ko02000","1.A.43.1,1.A.43.2,1.A.43.3",-,-,CRCB
